Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
1367,Fortune,Wellington,Sud-Ouest,300179.92,5037551.4,-73.5590947765304,45.4778731933828
1368,Hibernia,Mullins,Sud-Ouest,299847.11,5037693.97,-73.5633531363355,45.4791538227521
1369,Liverpool,Marguerite-B.(parc)/Wellington,Sud-Ouest,300114.61,5037390.47,-73.5599286118177,45.4764246349798
1370,Berri,Mont-Royal,Plateau Mont-Royal,298393.8,5042787.58,-73.582009135827,45.5249764554132
1371,Gouin,Poutrincourt,Ahuntsic - Cartierville,288669.33,5044651.97,-73.70655802765,45.5415956379443
1372,6 e Avenue,Henri-Bourassa Est,Rivières-des-Prairies - Pointe-aux-Trembles,297472.23,5053007.09,-73.593959831043,45.6169257030778
1373,Armand-Chaput,Henri-Bourassa Est,Rivières-des-Prairies - Pointe-aux-Trembles,302579.26,5057360.13,-73.5284951505046,45.656130396273
1374,Armand-Bombardier,Henri-Bourassa Est/Ray-Lawson,Rivières-des-Prairies - Pointe-aux-Trembles,298444.52,5053933.39,-73.5815047985644,45.6252703410877
1375,Armand-Bombardier,Maurice-Duplessis,Rivières-des-Prairies - Pointe-aux-Trembles,297822.69,5054623.52,-73.5894892260382,45.6314743156587
1376,Armand-Bombardier,Perras,Rivières-des-Prairies - Pointe-aux-Trembles,297242.34,5055400.75,-73.5969446971697,45.6384619202655
1377,Marcil,Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,295203.98,5037312.43,-73.62273652973,45.4756721755269
1378,Henri-Bourassa Est,Rivière-des-Prairies,Rivières-des-Prairies - Pointe-aux-Trembles,300592.06,5055964.07,-73.5539815841151,45.6435591721878
1379,27 e Avenue,Maurice-Duplessis,Rivières-des-Prairies - Pointe-aux-Trembles,298112.06,5054936.3,-73.5857821370023,45.6342916241944
1380,André-Dumas,Maurice-Duplessis,Rivières-des-Prairies - Pointe-aux-Trembles,298328.21,5055169.68,-73.5830128160023,45.6363936748879
1381,Armand-Bombardier,Blaise-Pascal,Rivières-des-Prairies - Pointe-aux-Trembles,298029.21,5054363.52,-73.5868368426586,45.6291368229743
1382,Coloniale,Sherbrooke,Plateau Mont-Royal,299410.02,5041515.58,-73.5689859909319,45.5135390917497
1383,Bélanger,Sagard,Villeray - Saint-Michel - Parc-Extension,296951.3,5045542.22,-73.6005194654967,45.5497489539433
1384,Docteur-Penfield,McTavish,Ville-Marie,298668.14,5040457.71,-73.578468026978,45.5040138119292
1385,Du Quesne,Rosemont,Mercier - Hochelaga - Maisonneuve,300263.79,5049054.61,-73.5581285321243,45.5813840391183
1386,Beaubien,Écores,Rosemont - Petite-Patrie,297557.38,5045303.48,-73.5927537862986,45.5476072552378
1387,Saint-Alexandre,Viger,Ville-Marie,299916.71,5040324.88,-73.562489047237,45.5028284092527
1388,Laurentien,Périnault,Ahuntsic - Cartierville,287863.12,5042995.97,-73.7168244433451,45.5266752919647
1389,Carlton,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,293890.66,5039488.54,-73.6395826663715,45.4952344680066
1390,Chambly,Rachel,Rosemont - Petite-Patrie,300273.77,5045536.56,-73.5579680768556,45.5497275407466
1391,Place d'Armes,Saint-Jacques Est,Ville-Marie,300309.9,5040586.55,-73.5574599872079,45.5051856685166
1392,Côte-des-Neiges,Goyer,Côte-des-Neiges - Notre-Dame-de-Grâce,294107.86,5040344.55,-73.6368223013825,45.5029405596466
1393,Écores,Rosemont,Rosemont - Petite-Patrie,297971.29,5045027.99,-73.5874491434328,45.5451324805009
1394,Garnier,Jean-Talon,Villeray - Saint-Michel - Parc-Extension,296313.19,5045142.05,-73.6086848809711,45.5461406035494
1395,Henri-Bourassa,Marcelin-Wilson,Ahuntsic - Cartierville,290772.62,5044063.97,-73.6796080706681,45.5363501459133
1396,La Gauchetière,Saint-Urbain,Ville-Marie,300044.65,5040778.79,-73.5608562639713,45.5069137669845
1397,Lajeunesse,Prieur,Ahuntsic - Cartierville,291917.19,5046056.03,-73.6650053713028,45.5542974531945
